Drug Name,Drug Class,Indication,Side Effects,Dosage Form,Dosage Strength,Prescription Status,Manufacturer,Approval Year,Description,Price (USD),Market Status
Drug-4842,Antiviral,Allergy Relief,Fatigue,Syrup,814 mg,OTC,BioSynth,2000,A antiviral used for allergy relief.,329.88,Discontinued
Drug-3347,Antidiabetic,Allergy Relief,"Dizziness, Fatigue, Nausea",Tablet,131 mg,Prescription,HealthPlus,2022,A antidiabetic used for allergy relief.,247.31,Active
Drug-7309,Antihypertensive,Anxiety Reduction,"Fatigue, Headache, Stomach Upset",Gel,307 mg,Prescription,HealthPlus,2023,A antihypertensive used for anxiety reduction.,121.17,Discontinued
Drug-8716,Sedative,Infection,Headache,Gel,588 mg,OTC,Global Remedies,2022,A sedative used for infection.,277.98,Active
Drug-3979,Antiviral,Fungal Infection,Headache,Tablet,830 mg,Prescription,Global Remedies,1985,A antiviral used for fungal infection.,89.23,Discontinued
Drug-1186,Antidepressant,Virus Management,"Stomach Upset, Fatigue, Headache",Gel,355 mg,Prescription,PharmaCorp,2007,A antidepressant used for virus management.,425.63,Active
Drug-4043,Antihypertensive,Blood Pressure Control,"Headache, Stomach Upset, Nausea",Syrup,388 mg,OTC,PharmaCorp,1985,A antihypertensive used for blood pressure control.,477.73,Active
Drug-4505,Sedative,Virus Management,Nausea,Gel,624 mg,OTC,BioSynth,2000,A sedative used for virus management.,131.9,Active
Drug-5421,Antidiabetic,Anxiety Reduction,Fatigue,Capsule,899 mg,Prescription,BioSynth,2023,A antidiabetic used for anxiety reduction.,212.59,Discontinued
Drug-9422,Antifungal,Depression,Dizziness,Syrup,350 mg,OTC,PharmaCorp,1996,A antifungal used for depression.,169.13,Active
Drug-2626,Antifungal,Depression,Stomach Upset,Capsule,751 mg,Prescription,HealthPlus,2013,A antifungal used for depression.,367.92,Active
Drug-6319,Antidiabetic,Wound Cleaning,Stomach Upset,Tablet,936 mg,OTC,HealthPlus,1981,A antidiabetic used for wound cleaning.,160.95,Discontinued
Drug-7056,Antifungal,Pain Relief,"Stomach Upset, Nausea, Fatigue",Capsule,391 mg,Prescription,PharmaCorp,1989,A antifungal used for pain relief.,319.15,Discontinued
Drug-5573,Antiseptic,Allergy Relief,Headache,Gel,964 mg,Prescription,PharmaCorp,2006,A antiseptic used for allergy relief.,303.18,Discontinued
Drug-9523,Analgesic,Blood Pressure Control,"Fatigue, Nausea",Injection,171 mg,Prescription,BioSynth,2011,A analgesic used for blood pressure control.,304.4,Active
Drug-1848,Antidiabetic,Depression,"Nausea, Fatigue",Tablet,93 mg,OTC,MediLife,2007,A antidiabetic used for depression.,231.95,Active
Drug-8078,Analgesic,Depression,"Drowsiness, Stomach Upset, Fatigue",Syrup,792 mg,Prescription,MediLife,2015,A analgesic used for depression.,28.33,Discontinued
Drug-3864,Antibiotic,Pain Relief,Headache,Capsule,723 mg,Prescription,HealthPlus,1995,A antibiotic used for pain relief.,45.13,Discontinued
Drug-9324,Antifungal,Infection,"Drowsiness, Dizziness, Nausea",Injection,689 mg,OTC,PharmaCorp,1984,A antifungal used for infection.,482.21,Discontinued
Drug-9614,Antidepressant,Diabetes,Nausea,Gel,633 mg,OTC,MediLife,2020,A antidepressant used for diabetes.,181.04,Active
Drug-5231,Antihypertensive,Allergy Relief,"Nausea, Stomach Upset, Fatigue",Cream,371 mg,OTC,MediLife,2014,A antihypertensive used for allergy relief.,86.02,Active
Drug-7954,Antiviral,Depression,"Nausea, Drowsiness",Injection,797 mg,OTC,PharmaCorp,2009,A antiviral used for depression.,251.94,Active
Drug-3765,Antihypertensive,Anxiety Reduction,Fatigue,Syrup,272 mg,Prescription,HealthPlus,2015,A antihypertensive used for anxiety reduction.,328.03,Discontinued
Drug-2837,Sedative,Fungal Infection,"Nausea, Fatigue",Capsule,712 mg,Prescription,PharmaCorp,1980,A sedative used for fungal infection.,90.36,Discontinued
Drug-5290,Antibiotic,Virus Management,Nausea,Capsule,853 mg,OTC,Global Remedies,1984,A antibiotic used for virus management.,124.27,Discontinued
Drug-9127,Analgesic,Virus Management,"Fatigue, Headache",Cream,600 mg,OTC,PharmaCorp,1991,A analgesic used for virus management.,210.82,Discontinued
Drug-7140,Antihypertensive,Diabetes,"Headache, Stomach Upset",Cream,56 mg,OTC,PharmaCorp,2012,A antihypertensive used for diabetes.,290.97,Discontinued
Drug-3244,Antihistamine,Fungal Infection,Fatigue,Syrup,828 mg,OTC,HealthPlus,2009,A antihistamine used for fungal infection.,158.08,Active
Drug-8371,Antifungal,Blood Pressure Control,Nausea,Syrup,667 mg,Prescription,BioSynth,1999,A antifungal used for blood pressure control.,412.07,Active
Drug-7298,Antihypertensive,Wound Cleaning,"Dizziness, Drowsiness",Gel,536 mg,Prescription,MediLife,1999,A antihypertensive used for wound cleaning.,272.25,Active
Drug-7626,Analgesic,Diabetes,"Nausea, Stomach Upset",Syrup,41 mg,OTC,PharmaCorp,1994,A analgesic used for diabetes.,102.49,Discontinued
Drug-9561,Antiseptic,Depression,Drowsiness,Syrup,86 mg,Prescription,HealthPlus,2018,A antiseptic used for depression.,455.15,Active
Drug-5469,Antihistamine,Wound Cleaning,Drowsiness,Cream,286 mg,OTC,BioSynth,2001,A antihistamine used for wound cleaning.,135.39,Active
Drug-8301,Antiseptic,Virus Management,"Fatigue, Nausea",Tablet,887 mg,Prescription,Global Remedies,2004,A antiseptic used for virus management.,89.53,Active
Drug-4937,Antibiotic,Anxiety Reduction,"Nausea, Drowsiness",Injection,,Prescription,HealthPlus,2014,A antibiotic used for anxiety reduction.,347.41,Active
Drug-2045,Antihistamine,Allergy Relief,"Fatigue, Nausea",Capsule,387 mg,OTC,HealthPlus,2023,A antihistamine used for allergy relief.,118.02,Discontinued
Drug-1708,Antiseptic,Allergy Relief,Fatigue,Injection,88 mg,Prescription,PharmaCorp,2014,A antiseptic used for allergy relief.,384.11,Discontinued
Drug-1777,Antihypertensive,Pain Relief,"Fatigue, Drowsiness, Dizziness",Cream,488 mg,OTC,HealthPlus,2010,A antihypertensive used for pain relief.,48.75,Discontinued
Drug-6520,Antifungal,Fungal Infection,"Dizziness, Headache",Cream,152 mg,OTC,Global Remedies,1999,A antifungal used for fungal infection.,444.9,Active
Drug-6326,Analgesic,Allergy Relief,"Headache, Stomach Upset",Syrup,719 mg,OTC,BioSynth,2010,A analgesic used for allergy relief.,282.42,Discontinued
Drug-8779,Antidiabetic,Depression,"Headache, Nausea, Stomach Upset",Syrup,293 mg,Prescription,PharmaCorp,1982,A antidiabetic used for depression.,15.33,Discontinued
Drug-1663,Sedative,Anxiety Reduction,"Nausea, Headache",Syrup,104 mg,OTC,MediLife,2012,A sedative used for anxiety reduction.,493.94,Discontinued
Drug-4230,Antihypertensive,Virus Management,"Stomach Upset, Drowsiness, Headache",Cream,484 mg,Prescription,Global Remedies,2007,A antihypertensive used for virus management.,48.88,Discontinued
Drug-5036,Antidepressant,Virus Management,"Fatigue, Stomach Upset, Headache",Gel,673 mg,OTC,MediLife,1991,A antidepressant used for virus management.,427.22,Discontinued
Drug-8978,Antihistamine,Depression,"Fatigue, Dizziness, Nausea",Capsule,20 mg,OTC,Global Remedies,2004,A antihistamine used for depression.,218.18,Discontinued
Drug-3342,Antidepressant,Diabetes,Fatigue,Cream,389 mg,OTC,PharmaCorp,2001,A antidepressant used for diabetes.,294.51,Active
Drug-8238,Antidiabetic,Virus Management,"Drowsiness, Nausea",Tablet,117 mg,Prescription,MediLife,2019,A antidiabetic used for virus management.,81.43,Active
Drug-8094,Antidepressant,Pain Relief,Stomach Upset,Tablet,725 mg,OTC,PharmaCorp,1986,A antidepressant used for pain relief.,319.24,Active
Drug-6358,Antibiotic,Diabetes,"Stomach Upset, Headache",Cream,655 mg,OTC,HealthPlus,2016,A antibiotic used for diabetes.,179.94,Active
Drug-7248,Antiviral,Allergy Relief,Nausea,Capsule,748 mg,OTC,HealthPlus,2018,A antiviral used for allergy relief.,35.81,Discontinued
Drug-9953,Sedative,Depression,"Stomach Upset, Headache",Tablet,794 mg,Prescription,MediLife,1994,A sedative used for depression.,444.84,Active
Drug-7643,Sedative,Virus Management,"Headache, Nausea, Stomach Upset",Gel,504 mg,Prescription,HealthPlus,1992,A sedative used for virus management.,184.24,Active
Drug-5559,Sedative,Allergy Relief,"Fatigue, Nausea, Dizziness",Syrup,472 mg,Prescription,Global Remedies,1996,A sedative used for allergy relief.,379.82,Discontinued
Drug-4796,Antifungal,Blood Pressure Control,Fatigue,Syrup,545 mg,Prescription,HealthPlus,1994,A antifungal used for blood pressure control.,250.06,Discontinued
Drug-4950,Antidepressant,Anxiety Reduction,"Fatigue, Drowsiness",Gel,359 mg,OTC,MediLife,2017,A antidepressant used for anxiety reduction.,219.99,Discontinued
Drug-6961,Antihypertensive,Blood Pressure Control,Stomach Upset,Cream,182 mg,Prescription,Global Remedies,2004,A antihypertensive used for blood pressure control.,100.46,Active
Drug-5209,Antidepressant,Allergy Relief,"Stomach Upset, Drowsiness, Headache",Tablet,530 mg,Prescription,BioSynth,2000,A antidepressant used for allergy relief.,162.54,Discontinued
Drug-3465,Sedative,Fungal Infection,"Fatigue, Dizziness",Injection,205 mg,OTC,MediLife,1984,A sedative used for fungal infection.,144.14,Active
Drug-2038,Antihistamine,Virus Management,Fatigue,Gel,297 mg,OTC,BioSynth,2019,A antihistamine used for virus management.,250.53,Discontinued
Drug-3589,Analgesic,Virus Management,Drowsiness,Injection,108 mg,OTC,Global Remedies,1999,A analgesic used for virus management.,373.22,Active
Drug-9050,Antiviral,Allergy Relief,Stomach Upset,Syrup,458 mg,OTC,HealthPlus,2006,A antiviral used for allergy relief.,392.85,Active
Drug-7175,Antibiotic,Depression,"Headache, Nausea",Cream,506 mg,Prescription,MediLife,2017,A antibiotic used for depression.,308.06,Discontinued
Drug-5830,Sedative,Allergy Relief,"Stomach Upset, Nausea",Syrup,248 mg,OTC,HealthPlus,1996,A sedative used for allergy relief.,344.75,Discontinued
Drug-4271,Antidepressant,Depression,Stomach Upset,Injection,63 mg,Prescription,PharmaCorp,1987,A antidepressant used for depression.,433.11,Discontinued
Drug-4991,Analgesic,Pain Relief,"Fatigue, Stomach Upset",Tablet,365 mg,Prescription,Global Remedies,2020,A analgesic used for pain relief.,59.98,Active
Drug-1987,Antidiabetic,Anxiety Reduction,"Dizziness, Nausea, Stomach Upset",Syrup,151 mg,OTC,HealthPlus,1993,A antidiabetic used for anxiety reduction.,484.12,Active
Drug-8064,Antiviral,Diabetes,Nausea,Capsule,980 mg,OTC,BioSynth,2020,A antiviral used for diabetes.,289.64,Active
Drug-3728,Analgesic,Infection,"Drowsiness, Nausea, Dizziness",Gel,454 mg,Prescription,Global Remedies,2001,A analgesic used for infection.,185.57,Discontinued
Drug-4071,Antihypertensive,Wound Cleaning,Stomach Upset,Capsule,968 mg,OTC,PharmaCorp,1985,A antihypertensive used for wound cleaning.,258.09,Active
Drug-5802,Antiseptic,Anxiety Reduction,Fatigue,Gel,121 mg,Prescription,MediLife,1981,A antiseptic used for anxiety reduction.,69.1,Discontinued
Drug-7283,Antifungal,Depression,"Nausea, Fatigue, Headache",Syrup,647 mg,Prescription,Global Remedies,2020,A antifungal used for depression.,213.72,Discontinued
Drug-2039,Analgesic,Diabetes,"Fatigue, Dizziness, Drowsiness",Injection,40 mg,Prescription,Global Remedies,1980,A analgesic used for diabetes.,89.89,Active
Drug-4840,Antihistamine,Wound Cleaning,Fatigue,Gel,131 mg,OTC,MediLife,2010,A antihistamine used for wound cleaning.,214.16,Active
Drug-9663,Antifungal,Virus Management,Stomach Upset,Syrup,925 mg,Prescription,MediLife,2023,A antifungal used for virus management.,497.58,Active
Drug-8560,Antihistamine,Pain Relief,Stomach Upset,Gel,253 mg,OTC,HealthPlus,1991,A antihistamine used for pain relief.,386.3,Active
Drug-6034,Antibiotic,Diabetes,Dizziness,Tablet,870 mg,Prescription,HealthPlus,1991,A antibiotic used for diabetes.,37.77,Discontinued
Drug-6771,Antidiabetic,Blood Pressure Control,"Drowsiness, Headache",Capsule,435 mg,OTC,HealthPlus,2007,A antidiabetic used for blood pressure control.,473.99,Active
Drug-9294,Antihistamine,Diabetes,"Dizziness, Stomach Upset",Syrup,668 mg,OTC,HealthPlus,1981,A antihistamine used for diabetes.,85.98,Discontinued
Drug-2718,Antidiabetic,Anxiety Reduction,Stomach Upset,Tablet,256 mg,OTC,MediLife,2017,A antidiabetic used for anxiety reduction.,413.04,Active
Drug-2257,Antiviral,Allergy Relief,Fatigue,Syrup,240 mg,OTC,HealthPlus,1994,A antiviral used for allergy relief.,415.8,Discontinued
Drug-3491,Sedative,Virus Management,"Headache, Nausea",Syrup,922 mg,Prescription,Global Remedies,1999,A sedative used for virus management.,57.58,Active
Drug-4071,Antifungal,Wound Cleaning,"Fatigue, Drowsiness",Cream,13 mg,Prescription,HealthPlus,2022,A antifungal used for wound cleaning.,131.76,Active
Drug-5422,Antiviral,Virus Management,"Headache, Dizziness",Cream,43 mg,Prescription,MediLife,2016,A antiviral used for virus management.,367.63,Active
Drug-2686,Antiviral,Pain Relief,"Drowsiness, Headache, Fatigue",Syrup,681 mg,OTC,HealthPlus,2010,A antiviral used for pain relief.,33.9,Active
Drug-7146,Antidiabetic,Anxiety Reduction,"Dizziness, Headache, Drowsiness",Cream,429 mg,Prescription,MediLife,2022,A antidiabetic used for anxiety reduction.,168.01,Active
Drug-6839,Antiviral,Anxiety Reduction,Stomach Upset,,120 mg,Prescription,BioSynth,2003,A antiviral used for anxiety reduction.,7.86,Active
Drug-2669,Antiviral,Allergy Relief,"Dizziness, Drowsiness, Headache",Gel,206 mg,Prescription,HealthPlus,1986,A antiviral used for allergy relief.,440.53,Active
Drug-2577,Antihistamine,Pain Relief,Drowsiness,Syrup,262 mg,OTC,HealthPlus,2001,A antihistamine used for pain relief.,232.99,Active
Drug-8504,Analgesic,Infection,"Fatigue, Nausea, Dizziness",Capsule,189 mg,Prescription,BioSynth,1998,A analgesic used for infection.,371.42,Discontinued
Drug-4393,Antiseptic,Infection,Stomach Upset,Cream,639 mg,Prescription,BioSynth,2001,A antiseptic used for infection.,178.34,Discontinued
Drug-1545,Sedative,Virus Management,"Nausea, Fatigue",Syrup,344 mg,Prescription,HealthPlus,1993,A sedative used for virus management.,485.77,Active
Drug-6834,Antihypertensive,Diabetes,"Fatigue, Drowsiness",Gel,997 mg,OTC,PharmaCorp,2014,A antihypertensive used for diabetes.,468.6,Active
Drug-4193,Antiviral,Pain Relief,"Drowsiness, Nausea",Capsule,967 mg,OTC,BioSynth,2011,A antiviral used for pain relief.,30.53,Active
Drug-6258,Antidepressant,Pain Relief,Drowsiness,Tablet,872 mg,OTC,Global Remedies,1980,A antidepressant used for pain relief.,103.19,Active
Drug-5069,Antihypertensive,Depression,Dizziness,Capsule,800 mg,Prescription,Global Remedies,1987,A antihypertensive used for depression.,205.97,Active
Drug-8847,Antifungal,Virus Management,"Fatigue, Stomach Upset, Headache",Syrup,613 mg,Prescription,HealthPlus,1998,A antifungal used for virus management.,319.29,Discontinued
Drug-3860,Antifungal,Anxiety Reduction,Stomach Upset,Capsule,656 mg,Prescription,HealthPlus,1986,A antifungal used for anxiety reduction.,436.71,Discontinued
Drug-3377,Antidiabetic,Virus Management,"Stomach Upset, Headache, Dizziness",Syrup,68 mg,Prescription,BioSynth,1991,A antidiabetic used for virus management.,45.17,Active
Drug-2804,Antidepressant,Infection,Drowsiness,Tablet,615 mg,Prescription,MediLife,1983,A antidepressant used for infection.,89.38,Discontinued
Drug-1163,Sedative,Depression,"Nausea, Headache",Capsule,438 mg,Prescription,Global Remedies,1988,A sedative used for depression.,189.22,Active
Drug-5796,Sedative,Depression,Dizziness,Syrup,657 mg,Prescription,Global Remedies,1987,A sedative used for depression.,414.95,Discontinued
Drug-4506,Antihypertensive,Infection,Headache,Cream,240 mg,OTC,BioSynth,1987,A antihypertensive used for infection.,5.79,Discontinued
Drug-9558,Antiviral,Virus Management,"Nausea, Headache, Fatigue",Tablet,378 mg,OTC,PharmaCorp,2010,A antiviral used for virus management.,64.72,Discontinued
Drug-5182,Antidiabetic,Blood Pressure Control,"Fatigue, Headache",Capsule,68 mg,OTC,MediLife,2015,A antidiabetic used for blood pressure control.,19.12,Active
Drug-6094,Sedative,Blood Pressure Control,Stomach Upset,Syrup,428 mg,Prescription,PharmaCorp,1981,A sedative used for blood pressure control.,154.53,Active
Drug-1199,Antifungal,Virus Management,"Nausea, Dizziness",Capsule,688 mg,OTC,PharmaCorp,2015,A antifungal used for virus management.,137.03,Active
Drug-9983,Antidepressant,Pain Relief,"Fatigue, Headache, Dizziness",Tablet,458 mg,OTC,Global Remedies,2022,A antidepressant used for pain relief.,453.53,Discontinued
Drug-5598,Antiviral,Blood Pressure Control,"Drowsiness, Fatigue, Nausea",Tablet,307 mg,OTC,Global Remedies,2020,A antiviral used for blood pressure control.,281.54,Active
Drug-3356,Sedative,Depression,Fatigue,Cream,182 mg,OTC,PharmaCorp,1984,A sedative used for depression.,104.4,Active
Drug-1728,Antiseptic,Fungal Infection,"Stomach Upset, Fatigue",Syrup,639 mg,OTC,BioSynth,2000,A antiseptic used for fungal infection.,262.55,Active
Drug-4758,Antidiabetic,Depression,"Dizziness, Drowsiness, Headache",Cream,138 mg,Prescription,BioSynth,2006,A antidiabetic used for depression.,120.57,Active
Drug-4655,Analgesic,Blood Pressure Control,Drowsiness,Gel,937 mg,Prescription,MediLife,1988,A analgesic used for blood pressure control.,351.96,Discontinued
Drug-1040,Antifungal,Diabetes,"Drowsiness, Headache",Cream,830 mg,Prescription,Global Remedies,1992,A antifungal used for diabetes.,30.63,Discontinued
Drug-4862,Antiseptic,Anxiety Reduction,"Dizziness, Drowsiness",Injection,69 mg,OTC,Global Remedies,1982,A antiseptic used for anxiety reduction.,470.84,Discontinued
Drug-6898,Antidiabetic,Wound Cleaning,Headache,Injection,948 mg,OTC,BioSynth,2018,A antidiabetic used for wound cleaning.,215.6,Discontinued
Drug-1441,Antifungal,Allergy Relief,"Dizziness, Nausea, Stomach Upset",Tablet,732 mg,Prescription,MediLife,1980,A antifungal used for allergy relief.,76.02,Discontinued
Drug-1421,Antifungal,Blood Pressure Control,"Nausea, Stomach Upset, Drowsiness",Syrup,278 mg,OTC,Global Remedies,2016,A antifungal used for blood pressure control.,321.55,Discontinued
Drug-4147,Antidepressant,Anxiety Reduction,"Fatigue, Dizziness, Stomach Upset",Tablet,177 mg,OTC,HealthPlus,2013,A antidepressant used for anxiety reduction.,130.41,Active
Drug-5439,Antibiotic,Blood Pressure Control,"Drowsiness, Headache",Injection,586 mg,OTC,Global Remedies,2018,A antibiotic used for blood pressure control.,398.88,Active
Drug-3480,Antihypertensive,Virus Management,"Stomach Upset, Dizziness",Tablet,44 mg,OTC,MediLife,2004,A antihypertensive used for virus management.,208.15,Active
Drug-3930,Analgesic,Infection,"Nausea, Dizziness, Headache",Capsule,533 mg,Prescription,BioSynth,2021,A analgesic used for infection.,147.37,Active
Drug-8161,Antibiotic,Anxiety Reduction,"Dizziness, Nausea, Stomach Upset",Cream,274 mg,Prescription,PharmaCorp,1996,A antibiotic used for anxiety reduction.,330.77,Active
Drug-3532,Sedative,Anxiety Reduction,"Fatigue, Dizziness",Syrup,570 mg,OTC,PharmaCorp,2022,A sedative used for anxiety reduction.,392.2,Discontinued
Drug-1687,Antihypertensive,Blood Pressure Control,"Drowsiness, Fatigue",Syrup,117 mg,OTC,PharmaCorp,1998,A antihypertensive used for blood pressure control.,157.99,Active
Drug-8667,Antihistamine,Fungal Infection,"Stomach Upset, Nausea, Dizziness",Tablet,511 mg,Prescription,MediLife,2009,A antihistamine used for fungal infection.,478.7,Discontinued
Drug-2322,Antiviral,Anxiety Reduction,"Fatigue, Drowsiness",Syrup,297 mg,OTC,HealthPlus,1988,A antiviral used for anxiety reduction.,121.78,Discontinued
Drug-8969,Antihistamine,Blood Pressure Control,Nausea,Cream,941 mg,Prescription,Global Remedies,2006,A antihistamine used for blood pressure control.,489.16,Discontinued
Drug-5085,Antidepressant,Depression,"Fatigue, Stomach Upset",Syrup,779 mg,OTC,HealthPlus,1996,A antidepressant used for depression.,85.8,Active
Drug-7811,Antiviral,Diabetes,"Drowsiness, Headache",Syrup,170 mg,Prescription,MediLife,1986,A antiviral used for diabetes.,25.66,Active
Drug-6485,Antidepressant,Blood Pressure Control,"Drowsiness, Nausea",Injection,867 mg,OTC,HealthPlus,2001,A antidepressant used for blood pressure control.,119.78,Active
Drug-4408,Antidiabetic,Blood Pressure Control,"Fatigue, Headache, Nausea",Capsule,183 mg,Prescription,Global Remedies,2023,A antidiabetic used for blood pressure control.,484.06,Active
Drug-4727,Antihypertensive,Allergy Relief,Drowsiness,Syrup,526 mg,Prescription,BioSynth,2023,A antihypertensive used for allergy relief.,300.21,Active
Drug-4661,Antidepressant,Depression,Fatigue,Syrup,167 mg,Prescription,Global Remedies,2017,A antidepressant used for depression.,27.21,Discontinued
Drug-8072,Antidepressant,Depression,"Dizziness, Fatigue",Cream,580 mg,OTC,PharmaCorp,1984,A antidepressant used for depression.,11.23,Discontinued
Drug-1603,Antifungal,Infection,Stomach Upset,Syrup,926 mg,Prescription,HealthPlus,2001,A antifungal used for infection.,433.29,Active
Drug-4288,Antidiabetic,Blood Pressure Control,Drowsiness,Tablet,730 mg,Prescription,HealthPlus,1986,A antidiabetic used for blood pressure control.,250.22,Discontinued
Drug-4216,Sedative,Anxiety Reduction,Drowsiness,Cream,611 mg,Prescription,PharmaCorp,2021,A sedative used for anxiety reduction.,49.16,Active
Drug-2247,Antihistamine,Blood Pressure Control,"Drowsiness, Headache",Tablet,130 mg,Prescription,BioSynth,2013,A antihistamine used for blood pressure control.,14.58,Active
Drug-1950,Antihypertensive,Pain Relief,Stomach Upset,Syrup,190 mg,Prescription,PharmaCorp,1981,A antihypertensive used for pain relief.,110.3,Discontinued
Drug-7382,Sedative,Fungal Infection,"Fatigue, Dizziness",Gel,815 mg,Prescription,HealthPlus,1996,A sedative used for fungal infection.,357.46,Discontinued
Drug-3842,Antiseptic,Wound Cleaning,"Dizziness, Nausea",Syrup,40 mg,OTC,Global Remedies,2009,A antiseptic used for wound cleaning.,379.39,Active
Drug-7161,Antiviral,Allergy Relief,"Dizziness, Drowsiness, Nausea",Gel,141 mg,Prescription,PharmaCorp,1985,A antiviral used for allergy relief.,379.63,Discontinued
Drug-8779,Antihypertensive,Wound Cleaning,"Stomach Upset, Headache, Dizziness",Cream,594 mg,Prescription,Global Remedies,1992,A antihypertensive used for wound cleaning.,471.12,Discontinued
Drug-3703,Antihistamine,Virus Management,"Headache, Drowsiness, Stomach Upset",Tablet,298 mg,OTC,BioSynth,1984,A antihistamine used for virus management.,15.99,Active
Drug-4648,Antibiotic,Blood Pressure Control,Stomach Upset,Syrup,946 mg,OTC,PharmaCorp,2001,A antibiotic used for blood pressure control.,211.79,Active
Drug-4170,Antibiotic,Diabetes,Dizziness,Cream,332 mg,OTC,HealthPlus,2012,A antibiotic used for diabetes.,428.55,Active
Drug-7936,Antibiotic,Blood Pressure Control,"Dizziness, Nausea",Syrup,269 mg,OTC,HealthPlus,1988,A antibiotic used for blood pressure control.,191.2,Discontinued
Drug-4993,Antidiabetic,Wound Cleaning,"Dizziness, Nausea, Headache",Gel,711 mg,Prescription,HealthPlus,2017,A antidiabetic used for wound cleaning.,81.81,Active
Drug-4775,Analgesic,Infection,"Drowsiness, Dizziness",Tablet,320 mg,OTC,BioSynth,1992,A analgesic used for infection.,186.9,Active
Drug-5559,Antifungal,Diabetes,"Nausea, Stomach Upset",Tablet,555 mg,OTC,PharmaCorp,2000,A antifungal used for diabetes.,61.5,Active
Drug-4399,Antidepressant,Virus Management,Nausea,Syrup,945 mg,Prescription,Global Remedies,2019,A antidepressant used for virus management.,384.65,Active
Drug-3828,Antiviral,Pain Relief,Nausea,Cream,490 mg,OTC,BioSynth,1996,A antiviral used for pain relief.,30.16,Discontinued
Drug-1259,Antiviral,Blood Pressure Control,"Headache, Nausea, Dizziness",Cream,224 mg,Prescription,PharmaCorp,2005,A antiviral used for blood pressure control.,212.62,Active
Drug-4152,Antiseptic,Wound Cleaning,"Nausea, Fatigue",Syrup,618 mg,Prescription,HealthPlus,2001,A antiseptic used for wound cleaning.,331.59,Active
Drug-1143,Antihypertensive,Wound Cleaning,"Nausea, Stomach Upset, Drowsiness",Gel,220 mg,OTC,BioSynth,1989,A antihypertensive used for wound cleaning.,245.74,Active
Drug-8318,Analgesic,Fungal Infection,Drowsiness,Cream,852 mg,Prescription,PharmaCorp,2022,A analgesic used for fungal infection.,338.42,Discontinued
Drug-9303,Analgesic,Depression,"Dizziness, Stomach Upset",Tablet,975 mg,Prescription,PharmaCorp,1991,A analgesic used for depression.,421.5,Discontinued
Drug-9447,Antihypertensive,Infection,"Nausea, Stomach Upset, Drowsiness",Capsule,599 mg,Prescription,MediLife,2014,A antihypertensive used for infection.,465.91,Discontinued
Drug-1828,Antihypertensive,Allergy Relief,"Drowsiness, Dizziness, Nausea",Injection,385 mg,OTC,BioSynth,2020,A antihypertensive used for allergy relief.,10.02,Active
Drug-4258,Analgesic,Pain Relief,"Stomach Upset, Nausea",Gel,58 mg,OTC,HealthPlus,2017,A analgesic used for pain relief.,143.69,Active
Drug-8397,Sedative,Infection,"Stomach Upset, Drowsiness",Tablet,351 mg,Prescription,BioSynth,1999,A sedative used for infection.,33.33,Active
Drug-2197,Antidiabetic,Pain Relief,"Headache, Fatigue, Stomach Upset",Cream,388 mg,Prescription,BioSynth,1998,A antidiabetic used for pain relief.,156.88,Discontinued
Drug-4707,Sedative,Fungal Infection,Headache,Syrup,482 mg,OTC,PharmaCorp,2021,A sedative used for fungal infection.,209.3,Active
Drug-7441,Antiviral,Allergy Relief,Stomach Upset,Syrup,739 mg,OTC,MediLife,1996,A antiviral used for allergy relief.,23.57,Active
Drug-1190,Antihypertensive,Infection,Drowsiness,Capsule,669 mg,Prescription,Global Remedies,1994,A antihypertensive used for infection.,319.92,Discontinued
Drug-7707,Antibiotic,Blood Pressure Control,Headache,Gel,184 mg,OTC,Global Remedies,2018,A antibiotic used for blood pressure control.,225.45,Discontinued
Drug-2167,Antibiotic,Virus Management,"Stomach Upset, Drowsiness",Tablet,786 mg,OTC,Global Remedies,2018,A antibiotic used for virus management.,455.98,Discontinued
Drug-1529,Antifungal,Anxiety Reduction,Stomach Upset,,659 mg,Prescription,Global Remedies,1988,A antifungal used for anxiety reduction.,166.5,Active
Drug-1978,Antiseptic,Anxiety Reduction,Stomach Upset,Gel,315 mg,OTC,MediLife,2008,A antiseptic used for anxiety reduction.,20.39,Active
Drug-7159,Sedative,Anxiety Reduction,"Nausea, Headache",Tablet,689 mg,Prescription,MediLife,1990,A sedative used for anxiety reduction.,119.92,Active
Drug-3009,Antiseptic,Wound Cleaning,"Dizziness, Nausea, Stomach Upset",Gel,678 mg,OTC,PharmaCorp,2020,A antiseptic used for wound cleaning.,423.03,Discontinued
Drug-4578,Antiviral,Pain Relief,Drowsiness,Gel,73 mg,OTC,HealthPlus,1996,A antiviral used for pain relief.,364.64,Discontinued
Drug-4045,Sedative,Infection,"Headache, Nausea, Drowsiness",Gel,236 mg,OTC,PharmaCorp,2017,A sedative used for infection.,186.03,Active
Drug-1687,Antiviral,Pain Relief,Nausea,Syrup,703 mg,OTC,BioSynth,2011,A antiviral used for pain relief.,353.33,Discontinued
Drug-7690,Sedative,Fungal Infection,Stomach Upset,Capsule,30 mg,OTC,BioSynth,1991,A sedative used for fungal infection.,453.45,Active
Drug-3891,Antibiotic,Infection,Nausea,Tablet,242 mg,Prescription,PharmaCorp,2022,A antibiotic used for infection.,429.76,Active
